iter	Passed	Remaining
0	176	176755
1	178	89173
2	179	59735
3	180	44965
4	181	36089
5	182	30168
6	182	25950
7	183	22785
8	184	20326
9	185	18354
10	186	16741
11	186	15392
12	187	14256
13	188	13281
14	189	12437
15	190	11706
16	191	11057
17	191	10474
18	192	9948
19	193	9474
20	194	9049
21	194	8665
22	195	8320
23	196	8004
24	197	7718
25	198	7450
26	199	7203
27	200	6970
28	201	6752
29	202	6550
30	203	6363
31	204	6193
32	205	6031
33	207	5882
34	208	5740
35	209	5603
36	210	5472
37	211	5349
38	212	5229
39	213	5116
40	214	5009
41	215	4908
42	216	4808
43	217	4716
44	218	4628
45	219	4544
46	220	4461
47	220	4381
48	221	4303
49	222	4230
50	223	4159
51	224	4091
52	225	4025
53	226	3962
54	227	3900
55	227	3841
56	228	3784
57	229	3730
58	231	3692
59	232	3643
60	233	3593
61	234	3545
62	235	3499
63	236	3453
64	236	3408
65	237	3365
66	238	3323
67	239	3277
68	240	3239
69	241	3202
70	242	3167
71	242	3131
72	243	3097
73	245	3067
74	246	3038
75	247	3010
76	248	2983
77	250	2957
78	251	2930
79	252	2904
80	253	2876
81	254	2852
82	255	2827
83	256	2801
84	257	2772
85	258	2747
86	259	2719
87	260	2695
88	260	2671
89	261	2647
90	262	2623
91	263	2600
92	264	2578
93	265	2556
94	266	2534
95	266	2514
96	267	2493
97	268	2473
98	269	2453
99	270	2433
100	271	2414
101	271	2392
102	272	2374
103	273	2357
104	274	2340
105	275	2323
106	276	2307
107	277	2290
108	278	2274
109	279	2258
110	280	2243
111	280	2227
112	281	2212
113	282	2196
114	283	2181
115	284	2165
116	285	2150
117	285	2136
118	286	2121
119	288	2113
120	290	2109
121	292	2105
122	293	2093
123	294	2082
124	296	2072
125	297	2061
126	298	2054
127	299	2040
128	300	2031
129	302	2025
130	303	2016
131	305	2006
132	306	1995
133	308	1990
134	309	1981
135	310	1970
136	311	1960
137	311	1947
138	312	1937
139	313	1926
140	314	1915
141	315	1905
142	316	1895
143	317	1887
144	320	1889
145	321	1881
146	322	1872
147	323	1863
148	324	1854
149	325	1845
150	326	1836
151	327	1827
152	328	1818
153	329	1810
154	330	1801
155	331	1793
156	332	1787
157	334	1781
158	335	1774
159	336	1766
160	337	1759
161	338	1751
162	339	1745
163	341	1738
164	342	1731
165	343	1724
166	345	1721
167	347	1718
168	348	1713
169	349	1706
170	350	1699
171	351	1691
172	352	1684
173	353	1677
174	354	1670
175	355	1663
176	356	1656
177	357	1649
178	358	1642
179	359	1635
180	359	1626
181	361	1623
182	362	1618
183	363	1611
184	366	1613
185	367	1609
186	368	1604
187	370	1599
188	371	1593
189	372	1588
190	375	1590
191	377	1588
192	379	1588
193	380	1582
194	382	1577
195	385	1581
196	386	1576
197	387	1571
198	390	1571
199	391	1566
200	392	1561
201	394	1557
202	395	1550
203	395	1544
204	396	1539
205	397	1533
206	398	1527
207	399	1522
208	400	1516
209	401	1510
210	402	1505
211	403	1499
212	404	1494
213	405	1489
214	406	1485
215	407	1480
216	408	1475
217	409	1470
218	410	1464
219	411	1459
220	412	1454
221	413	1450
